Bird, MEX, 4c739442-f5c6-42d2-b146-ffef2a38a91f, 93, 12956, No update data, 9g3qx2s59r8m
Bird, MEX, db805cf0-9e78-4f4a-94b1-ae13c7e413e7, 33, 3674, No update data, 9g3qx2sq87eu
Bird, MEX, 870f54ed-e778-46f6-9735-7ec81c18e74f, 96, 13430, No update data, 9g3qx2sq858s
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 91, 12640, No update data, 9g3qx2kxm7zg
Bird, MEX, 67c0e372-e02f-485b-a4b2-4d263b5d6677, 94, 13114, No update data, 9g3qx2kxr21h
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 18, 1169, No update data, 9g3qx2sppmzn
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 89, 12324, No update data, 9g3qx2t508bz
Bird, MEX, 22c0a4fc-5038-407e-b358-c264315749ed, 98, 13746, No update data, 9g3qx2ezhrnq
Bird, MEX, 1b394f0e-eb98-44c0-93e5-f32dcf58f28c, 89, 12324, No update data, 9g3qx27vgvsf
Bird, MEX, d584fcd2-bc82-46d9-9e62-ff5b6a9f7c3a, 92, 13527, No update data, 9g3qx2khuhgn
Bird, MEX, 470f3b8c-a155-4677-9e5f-00fb0ae898a8, 91, 12640, No update data, 9g3qx2svww4e
Bird, MEX, 2f6b0e2c-75af-4132-8146-84af69366874, 96, 13430, No update data, 9g3qx2syjmpc
Bird, MEX, 9e990e86-a088-47bc-bb5f-db838112d58f, 94, 13114, No update data, 9g3qx2sysbpw
Bird, MEX, a6ab387c-c178-4787-8034-3a4f7692d504, 91, 12640, No update data, 9g3qx2sywx49
Bird, MEX, 2ddac232-f9e8-499b-933d-c5889b87e2ca, 43, 5056, No update data, 9g3qx2e2hrnq
Bird, MEX, 021a614b-6d32-4ef7-b88b-24aca3fef285, 91, 12640, No update data, 9g3qx2gc6w25
Bird, MEX, 31a58504-be77-4000-a86f-814ed35e3118, 67, 8848, No update data, 9g3qx2tnqnr7
Bird, MEX, 1130fae2-7553-4b51-8a07-9c64ef837e65, 80, 10902, No update data, 9g3qx2e22j2t
Bird, MEX, 3b9aa98a-f776-425d-977a-2cb9db63cb91, 74, 10521, No update data, 9g3qx2t7m8qn
Bird, MEX, 7ff18de2-31f8-4ddf-934e-182cbc1de2fc, 24, 2171, No update data, 9g3qx2k1vgh6
Bird, MEX, 3f103ee2-6b90-4eb6-b875-72871b33ca22, 87, 12008, No update data, 9g3qx27s03gv
Bird, MEX, d07d77aa-e6d3-434a-ac68-e9218effca81, 76, 10270, No update data, 9g3qx2gf80vd
Bird, MEX, f2844b74-e1ec-4611-8d6d-652f8ecead1e, 89, 12324, No update data, 9g3qx27m41gt
Bird, MEX, 8a5681f4-cc1b-4035-a9bf-6b7c53419038, 84, 11534, No update data, 9g3qx2g6v7dy
Bird, MEX, 2a457350-a766-4817-8789-df1ef30e966a, 55, 6952, No update data, 9g3qx2ttkcrs
Bird, MEX, 86021b5f-f083-436f-85be-1f801a499d4f, 74, 9954, No update data, 9g3qx2uj00ms
Bird, MEX, bd67efbd-af8f-4b8b-9035-4a5742ffee6f, 75, 10688, No update data, 9g3qx2ttt2zf
Bird, MEX, 46b1036f-ca95-43c6-8e82-9fe9caac963f, 76, 10855, No update data, 9g3qx2ttt8y4
Bird, MEX, ae4a4a0d-29ae-4189-a1e3-6188d45a1bb6, 62, 8058, No update data, 9g3qx2g1s1g0
Bird, MEX, 0d6229f3-2709-4009-9926-86d8e2e5b821, 48, 5846, No update data, 9g3qx26upq2b
Bird, MEX, ed432de5-1245-4d4c-862c-1c442d1de163, 72, 10187, No update data, 9g3qx25ym3xv
Bird, MEX, d59b50aa-3d7b-460e-b0e0-095540a7e0de, 66, 8690, No update data, 9g3qx26fkhg1
Bird, MEX, bf2193cc-dea5-48bd-97ab-b8ee99ed6f87, 93, 12956, No update data, 9g3qx2hm48tj
Bird, MEX, 439e90c5-769c-4396-8d23-419bf5019251, 85, 11692, No update data, 9g3qx26f9j6p
Bird, MEX, 393e0a99-f760-4503-8063-16b3b88054f4, 87, 12692, No update data, 9g3qx26fb8qc
Bird, MEX, 6cc176cc-46ef-423f-a481-9a4246995b54, 78, 10586, No update data, 9g3qx2fun41p
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 69, 9686, No update data, 9g3qx2fuqyvz
Bird, MEX, c8cee864-ebce-41ea-acd4-099e55c3985a, 78, 10586, No update data, 9g3qx2fuw0pr
Bird, MEX, dbb9b3cf-52e7-4b2f-b45c-f90ae3727662, 83, 11376, No update data, 9g3qx2qh3rm2
Bird, MEX, e33d6ac7-bcf8-4970-9ae6-4629d1000f5e, 92, 12798, No update data, 9g3qx2dq3f26
Bird, MEX, 6eedd4b4-29a3-435a-8f76-5da2a718507a, 44, 5214, No update data, 9g3qx2dq3z23
Bird, MEX, 497776c5-39e3-47b8-b52a-5987fd0e777f, 60, 7742, No update data, 9g3qx2h4wrk6
Bird, MEX, 13ae732e-c540-4910-a04c-9297937170ea, 89, 13026, No update data, 9g3qx2y2865f
Bird, MEX, b762081f-13a9-4e84-9217-03e481d1a0cd, 99, 13904, No update data, 9g3qx26hwrh3
Bird, MEX, 188ebf3c-c5fa-4b9e-b7b8-76ae35643940, 51, 6680, No update data, 9g3qx2y2jjss
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 97, 13588, No update data, 9g3qx26hmejz
Bird, MEX, 3f5d1e14-2abf-4450-b3a3-c1faddeada17, 100, 14062, No update data, 9g3qx26jh8sm
Bird, MEX, 10daae24-dd33-4d3d-8473-8dcfe850040a, 28, 2839, No update data, 9g3qx26hu7qh
Bird, MEX, 2e806df7-0601-46c2-a156-4762c3aef108, 90, 13193, No update data, 9g3qx2y2txn1
Bird, MEX, 618bb3b3-c80a-4022-a329-f3159a380980, 76, 10855, No update data, 9g3qx2wrxkch
Bird, MEX, bc7e5c99-423a-4b8f-b11e-ccde9eace72b, 79, 10744, No update data, 9g3qx2qw9pzp
Bird, MEX, 0af7b98d-8e34-4ba9-adbe-098fbcbd0bad, 100, 14062, No update data, 9g3qx26j6u5m
Bird, MEX, 7d92c82f-2abe-41c8-ac35-3c663f6b67ff, 90, 12482, No update data, 9g3qx26j55qr
Bird, MEX, 98dbed4d-efe3-4aca-824d-96fc780a875f, 49, 6004, No update data, 9g3qx26h7gug
Bird, MEX, 41ac6b6e-37ef-44da-979d-66c790504466, 99, 13904, No update data, 9g3qx26he6hd
Bird, MEX, 54f0a39e-be90-477a-b9eb-687f73bf3039, 94, 13114, No update data, 9g3qx2627421
Bird, MEX, 6d5c116a-e9b7-4be1-a585-6b6b63ee69a5, 91, 12640, No update data, 9g3qx2622w8s
Bird, MEX, cf99c71b-0836-4611-8b58-097a6931d8d1, 57, 7268, No update data, 9g3qx24rcvye
Bird, MEX, 84e563f6-c259-4665-be50-8ff8d96531ea, 74, 10521, No update data, 9g3qx3j9pvzr
Bird, MEX, 97a848fb-7658-4f31-8b43-ad0ade2b5059, 100, 14062, No update data, 9g3qx34c2bgb
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 62, 8058, No update data, 9g3qx2qwzkcn
Bird, MEX, f115d5d5-9064-4746-b6d0-f2ba275bf468, 87, 12008, No update data, 9g3qx34cdxj1
Bird, MEX, eb586e99-e2b2-43a8-b9e4-95a9fb994cf0, 100, 14062, No update data, 9g3qx34c2zeg
Bird, MEX, ada64e01-8761-45b0-95e5-a0924c65e0f1, 48, 6179, No update data, 9g3qrrur9vyc
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 90, 13193, No update data, 9g3qx2ymcb29
Bird, MEX, fa78f2a4-a61e-4f48-8c80-c145aa5655af, 100, 14062, No update data, 9g3qx349ruf3
Bird, MEX, f461804c-ca00-4c64-b597-4cfd5d478487, 100, 14062, No update data, 9g3qx34c2pm9
Bird, MEX, af202aa8-1c52-4110-9424-604deaaa8996, 99, 13904, No update data, 9g3qx349rh7z
Bird, MEX, 868f6e66-2df0-42a7-8734-9e6f0103ab2d, 83, 11376, No update data, 9g3qx2qy8uu5
Bird, MEX, 6f84f04d-339c-4ccf-9c5b-825181fa849e, 83, 11376, No update data, 9g3qx29v8n2t
Bird, MEX, 26bdfeb8-9f55-4c69-97c6-68501afe5085, 87, 12008, No update data, 9g3qx2fr9gyw
Bird, MEX, e1bd83dc-c8ba-4ead-b6c3-faf05146ddac, 83, 12024, No update data, 9g3qx2nx9n6j
Bird, MEX, 9325f3ab-6b03-4dc6-ac29-b0843d05a055, 92, 12798, No update data, 9g3qx340tnkw
Bird, MEX, 3ecbfd4e-07b7-49c4-95b1-18de4a205226, 93, 12956, No update data, 9g3qx21zdf7k
Bird, MEX, c3f1218e-7d1f-4cf9-ac17-38d6e68a0c84, 80, 10902, No update data, 9g3qx341npz6
Bird, MEX, ee0e4330-beb4-4c8e-b019-341083b73f2b, 56, 7515, No update data, 9g3qx341t1ht
Bird, MEX, ac81f291-d776-4565-8cb7-d063d1926edc, 94, 13861, No update data, 9g3qx2yvst5q
Bird, MEX, 230144db-cd18-492b-b0fa-61d76dc91f64, 33, 3674, No update data, 9g3qx2yuymus
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 90, 13193, No update data, 9g3qx2z47s1v
Bird, MEX, 13c89489-7216-43ff-90a5-d39d15414a4e, 97, 14362, No update data, 9g3qx2yvt66u
Bird, MEX, 45c6c3de-0c1c-4f91-acb3-8d3b7df04b0a, 67, 9352, No update data, 9g3qx2yyg7ex
Bird, MEX, d49e6960-8798-495e-8201-98112c5ddf62, 65, 8532, No update data, 9g3qx34zq3sq
Bird, MEX, 70c01e06-41bd-4ca5-998b-59aa9ca0fb83, 90, 13193, No update data, 9g3qx2z4tkrb
Bird, MEX, 830b76b9-a650-4da3-993f-7444f4798020, 39, 4676, No update data, 9g3qx2r4m6zv
Bird, MEX, 9df4aa53-6ae5-40ec-b8fb-e05e3ad14881, 54, 6794, No update data, 9g3qx2z4ttnn
Bird, MEX, 0d2663c7-49cf-4138-9feb-5ed7b6143c8f, 87, 12692, No update data, 9g3qx3k9fetp
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 94, 13114, No update data, 9g3qx2z4y869
Bird, MEX, 1be1df4a-da00-4da9-b129-a01fadab33e0, 60, 8183, No update data, 9g3qx2c6gukf
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 90, 13193, No update data, 9g3qx2z5ywd8
Bird, MEX, 1a1153b3-ccda-4f21-8f5d-78b11190e3ff, 31, 3340, No update data, 9g3qx21squmx
Bird, MEX, 84c58f67-767b-43d3-a648-1760f654ddf2, 40, 4843, No update data, 9g3qx3neq436
Bird, MEX, b0d07e3c-c87c-4787-920f-ae6bf71741a4, 31, 3340, No update data, 9g3qx290bw88
Bird, MEX, c5c94c44-4769-4907-9ace-5f0ac2214ea4, 84, 12191, No update data, 9g3qx21myedw
Bird, MEX, d27c6162-2656-4c21-b8d2-16f210d8d32e, 94, 13114, No update data, 9g3qx28cpwk0
Bird, MEX, 5e0012f4-cf1b-496f-8e47-337dd9dbf496, 89, 12324, No update data, 9g3qx21mrkbc
Bird, MEX, 42f65879-1bc3-4d84-96c2-5a32cae52259, 94, 13114, No update data, 9g3qx28cr3bz
Bird, MEX, 86ec64a2-fe4e-4b0a-9242-2cd4cc94ee4a, 96, 13430, No update data, 9g3qx28cnzt8
Bird, MEX, dc0b8a8f-1204-481d-88fd-f3f8719f4180, 98, 13746, No update data, 9g3qx231q01h
Bird, MEX, c214602d-d67c-4b09-ba99-34b2d47493b0, 97, 13588, No update data, 9g3qx230ypxr
Bird, MEX, 4568dccb-1d47-46a5-b355-738704fd1ab0, 96, 13430, No update data, 9g3qx231sy5e
Bird, MEX, ae02b51b-123a-4953-b879-ccdd4f8d7c0c, 90, 13193, No update data, 9g3qx2zm6smp
Bird, MEX, 7b5ad11d-ad48-4430-818e-5de19fa666b8, 96, 13430, No update data, 9g3qx230qruk
Bird, MEX, 1a108a8c-4379-452a-b475-670a843ee147, 100, 14062, No update data, 9g3qx230txjc
Bird, MEX, 6bdba8c6-98f6-44f4-8317-3fb317c95a3c, 91, 12640, No update data, 9g3qx234dw2j
Bird, MEX, 09458811-7896-40fa-9ac1-6186f561896c, 93, 12956, No update data, 9g3qx3kk52eq
Bird, MEX, 620f49a6-c72c-4e49-942e-2743eade2002, 91, 12640, No update data, 9g3qx21mkbrt
Bird, MEX, 15b2d61a-a693-4026-9a75-83a6c6e7c57d, 94, 13114, No update data, 9g3qx230nrs2
Bird, MEX, c662786d-854d-47c0-968a-b15b122a522f, 67, 8848, No update data, 9g3qx2xsm36u
Bird, MEX, 143d0a31-d8f4-4ad8-9b34-8446412ad3a4, 100, 14062, No update data, 9g3qx231k1xv
Bird, MEX, 30a9bd45-450f-4339-934e-e907cd7e21ef, 49, 6004, No update data, 9g3qx2zkuqnq
Bird, MEX, cddf1b28-4863-4c52-a305-811b2c47c640, 98, 13746, No update data, 9g3qx230ug16
Bird, MEX, f502da9f-2766-4a62-99c5-d09de0e00721, 74, 9954, No update data, 9g3qx230un5j
Bird, MEX, 63da3376-1319-4d90-826b-e97b58a1183d, 94, 13114, No update data, 9g3qx230skw1
Bird, MEX, 32abc7f8-b895-4a02-9e42-be22720f51a2, 83, 11376, No update data, 9g3qx230epyr
Bird, MEX, 6bb32e49-e86c-4e57-a7e5-5c020bea363e, 94, 13114, No update data, 9g3qx2306925
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 90, 12482, No update data, 9g3qx2zqzbr3
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 58, 7849, No update data, 9g3qx2zwb5tx
Bird, MEX, 43c9da9c-a738-402f-a081-1b3aa20ae5f9, 81, 11690, No update data, 9g3qx2zw5f81
Bird, MEX, ac90b4f8-4ec5-4ed2-bb64-605c07442409, 93, 12956, No update data, 9g3qx2ztjmxv
Bird, MEX, 90b4f26d-97a2-497b-8244-1fb9f1ea8687, 69, 9686, No update data, 9g3qx2bf8syu
Bird, MEX, 85c08534-d42f-4372-921e-8f780aca6702, 16, 790, No update data, 9g3qx2zsrmxr
Bird, MEX, bf956252-d541-4d7d-a779-dcb1d9327ce8, 96, 13430, No update data, 9g3qx2zx4v77
Bird, MEX, 667da35d-8345-4402-9ed3-23f1f5f80543, 89, 13026, No update data, 9g3qx215u8uk
Bird, MEX, 27ff993f-b5a1-4be3-8819-a74cca67f1b8, 44, 5214, No update data, 9g3qx2zxfbgm
Bird, MEX, 59b7f5e1-3272-448c-a687-2c6df93ea390, 85, 12358, No update data, 9g3qx20vwgte
Bird, MEX, e8aeed4d-683e-4f07-aac9-8aa11327775a, 94, 13114, No update data, 9g3qx2zwt8np
Bird, MEX, 5d8e364f-ed6b-48a9-bea7-b90df1aba21c, 84, 12191, No update data, 9g3qx21h3j6h
Bird, MEX, 75ce0f6b-0607-4413-b8f9-4814481bec33, 90, 13193, No update data, 9g3qx21h2tnf
Bird, MEX, 39298bbd-04c3-47e1-9e44-aba7ba98b4bd, 93, 12956, No update data, 9g3qx2zxue57
Bird, MEX, 7aadc36b-4d78-44ff-ab7a-003ab654269d, 78, 10586, No update data, 9g3qx2psexcy
Bird, MEX, 09b4b3b1-fb6a-4e2b-a65c-cb1e43f092da, 90, 13193, No update data, 9g3qx215bgey
Bird, MEX, 334d37ea-4ca1-4106-95ba-3dae5b1e6380, 90, 12482, No update data, 9g3qx2zueked
Bird, MEX, 2363cb12-8a83-4bf1-ade2-6ffb6a842db8, 34, 3841, No update data, 9g3qx2zug0we
Bird, MEX, db1c2d5e-da0d-4cf8-8ef9-6faa76b0e819, 87, 12692, No update data, 9g3qx2zuhde3
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 94, 13114, No update data, 9g3qx2zgvrzb
Bird, MEX, c557b329-fa29-4b97-a371-40a2e8071355, 54, 6794, No update data, 9g3qx2zvn5rx
Bird, MEX, 45140a98-0b34-4367-96e9-1a90cd0caa58, 91, 12640, No update data, 9g3qx8bh20v8
Bird, MEX, cd01213d-9873-4a73-9113-022b45577801, 94, 13861, No update data, 9g3qx3p8zvfs
Bird, MEX, fda6d7e1-606d-461c-abf9-dd9253eea5a9, 73, 10354, No update data, 9g3qx3pb69tn
Bird, MEX, 46abce90-bd75-4b92-b165-d46e06a59f39, 76, 10270, No update data, 9g3qx8bj9y0s
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 69, 9164, No update data, 9g3qx8bje25x
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 93, 12956, No update data, 9g3qx8bjv3fg
Bird, MEX, c893effe-00ee-4387-8b1e-6a70390f84db, 91, 12640, No update data, 9g3qx20mxy6m
Bird, MEX, c76628e4-823a-4953-b144-7c45bb17f2d8, 46, 5530, No update data, 9g3qx20dnxf9
Bird, MEX, 65cff338-d0cf-40d3-8193-b1358655873e, 28, 2839, No update data, 9g3qx22ph4fg
Bird, MEX, ed565352-2abd-4185-9ec2-df9242afee5d, 80, 11523, No update data, 9g3qx8bp7gvh
Bird, MEX, da283533-c49b-4115-84f9-a34649d27d8e, 65, 9018, No update data, 9g3qx8bnnn33
Bird, MEX, 11f1ec41-516b-4137-8d03-93300417e57a, 26, 2505, No update data, 9g3qx22p5t18
Bird, MEX, d00c8363-1378-4f6d-a999-7e929c94c014, 33, 3476, No update data, 9g3qx900f0gv
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 90, 12482, No update data, 9g3qx8bm2fh0
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 49, 6004, No update data, 9g3qx2pckkqq
Bird, MEX, cbdabc78-7433-470a-928d-95cb88d86f4e, 78, 11189, No update data, 9g3qx8bq2jmt
Bird, MEX, 1466965f-4a45-4279-95f2-63db81f8c6a9, 88, 12166, No update data, 9g3qx8bnzdhm
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 91, 13360, No update data, 9g3qx20e12br
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 87, 12692, No update data, 9g3qx20e24bt
Bird, MEX, d98c91fb-00aa-404b-82d7-c7ec1c1d5864, 56, 7110, No update data, 9g3qrrz7gzkv
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 89, 13026, No update data, 9g3qx207pu6k
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 83, 12024, No update data, 9g3qx302vwvf
Bird, MEX, f269b87e-e85b-449f-95c0-681aca0493c6, 81, 11060, No update data, 9g3qx3r64902
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 88, 12859, No update data, 9g3qx20m3wek
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 94, 13114, No update data, 9g3qx900rek2
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 84, 12191, No update data, 9g3qx20m8w0e
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 87, 12692, No update data, 9g3qx2092u7y
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 88, 12859, No update data, 9g3qx20jxdk5
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 100, 14062, No update data, 9g3qrre3zfdr
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 85, 12358, No update data, 9g3qx203xwkj
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 90, 13193, No update data, 9g3qx9029jz6
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 93, 12956, No update data, 9g3qx904nept
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 92, 12798, No update data, 9g3qx904qhz9
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 93, 12956, No update data, 9g3qx903877f
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 100, 14062, No update data, 9g3qrre9827z
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 87, 12692, No update data, 9g3qx2088v7z
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 93, 12956, No update data, 9g3qx90330pk
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 91, 13360, No update data, 9g3qx203qumw
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 87, 12692, No update data, 9g3qx203r1ev
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 79, 10744, No update data, 9g3qx904qujy
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 88, 12859, No update data, 9g3qx202zvf7
Bird, MEX, fcb2fdf4-9264-4626-be34-b7196409c2b2, 56, 7515, No update data, 9g3qx203qf8e
Bird, MEX, f77a1a96-0f11-456b-a1e9-3133c60c3472, 74, 10521, No update data, 9g3qx3r9b3ec
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 80, 10902, No update data, 9g3qx32cpkxp
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 90, 13193, No update data, 9g3qx203nbme
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 53, 6636, No update data, 9g3qrrzsz5sj
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 73, 10354, No update data, 9g3qx20hyjz7
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 87, 12692, No update data, 9g3qx202ru4k
Bird, MEX, b9e2ff33-aa00-4fc0-8744-f33a9e54896b, 80, 10902, No update data, 9g3qx3r97ub4
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 65, 8532, No update data, 9g3qx3r7cnpn
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 60, 7742, No update data, 9g3qrrd7evub
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 22, 1837, No update data, 9g3qx33z69j5
Bird, MEX, 1fcbe12b-38db-4b6f-8b08-9403ac6ebf63, 28, 2686, No update data, 9g3qrrzyqsz8
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 94, 13114, No update data, 9g3qx906chr7
Bird, MEX, 9e68ac62-5e5a-44d2-9ba8-e33101e08f8a, 66, 8690, No update data, 9g3qx0zuhehm
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 39, 4424, No update data, 9g3qx3ehn4zk
Bird, MEX, a283ba1b-d074-409e-8b73-25619fe5918c, 55, 6952, No update data, 9g3qrrc1k471
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx903pwk3
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 85, 11692, No update data, 9g3qrrc16dvh
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 94, 13114, No update data, 9g3qrrzut0uc
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 79, 10744, No update data, 9g3qrr9tepbn
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 63, 8684, No update data, 9g3qx3tu4g5q
Bird, MEX, 1acfaf02-8a82-4144-964c-c6c7bb75c29c, 90, 12482, No update data, 9g3qrxbj1v2d
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 85, 11692, No update data, 9g3qx32gk14f
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 49, 6004, No update data, 9g3qrrmppqc5
Bird, MEX, 5ab272c7-5d26-4e57-8c45-176bfd3249a7, 33, 3674, No update data, 9g3qrrmpndpw
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 46, 5530, No update data, 9g3qrxbrt7rc
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 92, 13527, No update data, 9g3qx3spxc4m
Bird, MEX, aad313a3-b80a-4bbe-b52c-fb26679816e2, 55, 7348, No update data, 9g3qx83hky9s
Bird, MEX, cb0a99dd-92a8-48a9-b2f5-fea4c8fbeff6, 91, 12640, No update data, 9g3qx90be35t
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 73, 9796, No update data, 9g3qx92262rn
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 93, 12956, No update data, 9g3qx90f3e78
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 48, 5846, No update data, 9g3qx80ff66n
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 61, 7900, No update data, 9g3qrr97whx3
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 93, 12956, No update data, 9g3qx90f9tgd
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 65, 8532, No update data, 9g3qx90fccyg
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 63, 8216, No update data, 9g3qx8c5yd4v
Bird, MEX, edabc2ba-a8e8-4a5c-9afa-2d0d88225ba6, 87, 12008, No update data, 9g3qrrmh9q06
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 93, 12956, No update data, 9g3qx90cpc48
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 81, 11690, No update data, 9g3qx92h3f08
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 75, 10112, No update data, 9g3qx90cpv6e
